region,lga,ward_merge,village_merge,select_wpt_name,new_wpt_name,wpt_name,wpt_code,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,wpt_call_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,call_nonfunctional_functional,call_functional_nonfunctional,wpt_pbr_scheme,scheme_merge,scheme_name_change,lat,long,wpt_image,numbertaps
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa makoa,Kwa makoa,NA,handpump_borehole,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.108953993,37.87205388,http://classic.ona.io/api/v1/files/2382768?filename=pbrtz/attachments/1474357225027.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa Amina Sabuni,Kwa Amina Sabuni,NA,handpump_borehole,NA,Not_functional,1 6,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.113242171,37.86485806,http://classic.ona.io/api/v1/files/2382776?filename=pbrtz/attachments/1474358274216.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa Joachim mponda,Kwa Joachim mponda,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Village scheme,NA,-7.114366631,37.86364987,http://classic.ona.io/api/v1/files/2382770?filename=pbrtz/attachments/1474358716420.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Shule ya msingi msonge,Shule ya msingi msonge,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,VILLAGE scheme,NA,-7.117152605,37.86110994,http://classic.ona.io/api/v1/files/2382774?filename=pbrtz/attachments/1474359158854.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa Dilawa,Kwa Dilawa,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Village scheme,NA,-7.118157443,37.85994046,http://classic.ona.io/api/v1/files/2382781?filename=pbrtz/attachments/1474359516659.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Shuleni,Shuleni,NA,handpump_borehole,NA,Not_functional,6 7,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.118414406,37.86085971,http://classic.ona.io/api/v1/files/2382784?filename=pbrtz/attachments/1474360009377.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa Mkenza,Kwa Mkenza,NA,handpump_borehole,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.127042434,37.85326374,http://classic.ona.io/api/v1/files/2382786?filename=pbrtz/attachments/1474360880883.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa mzee ngoma,Kwa mzee ngoma,NA,handpump_borehole,NA,Not_functional,1 6 7,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.126776937,37.85288773,http://classic.ona.io/api/v1/files/2382787?filename=pbrtz/attachments/1474361149211.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa ngoma,Kwa ngoma,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Village,NA,-7.126295924,37.85257265,http://classic.ona.io/api/v1/files/2382795?filename=pbrtz/attachments/1474361443559.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Ofisi ya kijiji,Ofisi ya kijiji,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,Village,NA,-7.127986824,37.85170949,http://classic.ona.io/api/v1/files/2382798?filename=pbrtz/attachments/1474362134371.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa Nguya,Kwa Nguya,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Village,NA,-7.129281291,37.85102133,http://classic.ona.io/api/v1/files/2382797?filename=pbrtz/attachments/1474362768607.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kanisani,Kanisani,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Village,NA,-7.133146838,37.84985971,http://classic.ona.io/api/v1/files/2382799?filename=pbrtz/attachments/1474363354619.jpg,NA
Morogoro,Morogoro,Mvuha,Msonge,NA,Kwa mzumali,Kwa mzumali,NA,handpump_borehole,NA,Not_functional,1 7,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.134417512,37.85035828,http://classic.ona.io/api/v1/files/2382823?filename=pbrtz/attachments/1474363928937.jpg,NA
